UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
ECUMENICAL CHRISTIAN COLLEGE,Local,4
STI COLLEGE - ZAMBOANGA,Local,4
THE PHILIPPINE WOMEN'S UNIVERSITY SYSTEM - QUEZON CITY,Local,4
SAINT MARY'S COLLEGE OF BALIUAG,Local,4
UNIVERSITY OF ILOILO ILOILO,Local,4
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,Local,4
NATIONAL UNIVERSITY SAMPALOC MANILA,Local,4
NAZARENUS COLLEGE FOUNDATION,Local,4
METROPOLITAN HOSPITAL COLLEGE,Local,4
MINA DE ORO INSTITUTE OF SCIENCE AND TECHNOLOGY,Local,4
DIPOLOG MEDICAL CENTER,Local,4
PHILIPPINE COLLEGE OF SCIENCE AND TECHNOLOGY,Local,4
DE OCAMPO MEMORIAL COLLEGE STA. MESA MANILA,Local,4
CONCORDIA COLLEGE PACO MANILA,Local,4
UNIVERSITY OF CEBU,Local,4
BALIUAG COLLEGES BALIUAG BULACAN,Local,4
DIVINE WORD COLLEGE OF BANGUED,Local,4
UNCIANO COLLEGE STA. MESA MANILA,Local,4
PASIG CATHOLIC COLLEGE,Local,4
PAMANTASAN NG ARAULLO,Local,4
ASBURY COLLEGE - ANDA PANGASINAN,Local,4
GREAT PLEBIAN COLLEGE - CITY OF ALAMINOS PANGASINAN,Local,4
UNIVERSITY OF THE EAST - CALOOCAN,Local,3
ASIAN COLLEGE OF SCIENCE AND TECHNOLOGY,Local,3
GENSANTOS FOUNDATION COLLEGE,Local,3
OSIAS EDUCATIONAL FOUNDATION - BALAOAN LA UNION,Local,3
UNIVERSITY OF MINDANAO DAVAO,Local,3
NAGA COLLEGE NAGA CITY,Local,3
MT. CARMEL COLLEGE OF BOCAUE BULACAN,Local,3
NORTHWESTERN UNIVERSITY LAOAG CITY,Local,3
NORTH CENTRAL MINDANAO COLLEGES,Local,3
NATIONAL FIRST GRADE COLLEGE,Local,3
NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY,Local,3
UNIVERSAL COLLEGES OF PARAÑAQUE,Local,3
UNITED SCHOOL OF SCIENCE AND TECHNOLOGY COLLEGES - CITY OF TARLAC (CAPITAL) TARLAC,Local,3
JOHN B. LACSON COLLEGES FOUNDATION - BACOLOD,Local,3
LUNA COLLEGES - TAYUG PANGASINAN,Local,3
COLEGIO DE SAN LORENZO - Q.C.,Local,3
CENTRAL LUZON COLLEGE OF TECHNOLOGY - OLONGAPO,Local,3
INFORMATION AND COMMUNICATIONS TECHNOLOGY ACADEMY,Local,3
ST. PAUL COLLEGE DUMAGUETE CITY,Local,3
UNIVERSITY OF REGINA CARMELI MALOLOS BULACAN,Local,3
FOUNDATION UNIVERSITY DUMAGUETE CITY,Local,3
ST. GABRIEL COLLEGE - KALIBO AKLAN,Local,3
TOMAS DEL ROSARIO COLLEGE,Local,3
MINDANAO AUTONOMOUS COLLEGE FOUNDATION,Local,3
DIVINE WORD COLLEGE OF SAN JOSE,Local,3
DMMA COLLEGE OF SOUTHERN PHILIPPINES,Local,3
DMMC INSTITUTE OF HEALTH SCIENCES,Local,3
SAINT MARY'S COLLEGE,Local,3
TOMAS CLAUDIO MEMORIAL COLLEGE,Local,3
MARTINEZ MEMORIAL COLLEGE - KALOOKAN CITY THIRD DISTRICT,Local,3
SAINT SCHOLASTICA'S COLLEGE TACLOBAN CITY,Local,3
MENDERO COLLEGE,Local,3
FAR EASTERN COLLEGE - SILANG,Local,3
ELISA R. OCHOA MEMORIAL NORTHERN MINDANAO SCHOOL OF MIDWIFERY,Local,3
UNIVERSITY OF PERPETUAL HELP - GMA,Local,3
UNIVERSITY OF PANGASINAN DAGUPAN CITY(DAGUPAN COLLEGES),Local,3
MARY JOHNSTON COLLEGE - TONDO I / II CITY OF MANILA FIRST DISTRICT,Local,3
ESCUELA DE NUESTRA SRA. DE LA SALETTE - DAGUPAN CITY PANGASINAN,Local,3
MESSIAH COLLEGE FOUNDATION,Local,3
DR. YANGAS FRANCISCO BALAGTAS BULACAN,Local,3
ST.ANN'S COLLEGE OF NURSING,Local,3
STI COLLEGE - STA. MARIA,Local,3
STI EDUCATION SERVICES GROUP,Local,3
MANUEL S. ENVERGA UNIVERSITY FOUNDATION - CANDELARIA,Local,3
UNIVERSITY OF NOTRE DAME,Local,3
COLEGIO DE STA. CATALINA DE ALEJANDRIA,Local,3
DR. P. OCAMPO COLLEGE INC. COTABATO CITY,Local,3
COLEGIO DE SANTA MONICA - MANILA,Local,3
LAS PINAS COLLEGE LAS PINAS METRO MANILA,Local,3
ST. PETER'S COLLEGE - NEW JERSEY USA,Local,3
IPSP/EPS,Local,3
ASIAN DEVELOPMENT FOUNDATION COLLEGE,Local,3
SANCTA MARIA MATER ET REGINA SEMINARIUM,Local,3
FEATI UNIVERSITY,Local,3
ABE INTERNATIONAL COLLEGE OF BUSINESS AND ACCOUNTANCY - CEBU CITY CEBU,Local,3
AGO MEDICAL FOUNDATION NAGA CITY,Local,3
ST. MARY'S COLLEGE,Local,3
ICCT COLLEGES,Local,3
FATIMA MEDICAL SCIENCE FOUNDATION INC.-VALENZUELA,Local,3
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,Local,2
ASIA PACIFIC COLLEGE,Local,2
PHILIPPINE ADVENT COLLEGE,Local,2
PHILIPPINE COLLEGE OF CRIMINOLOGY,Local,2
DE LA SALLE - CANLUBANG (LEANDRO V. LOCSIN),Local,2
AMA COMPUTER UNIVERSITY,Local,2
GEORGE DEWEY MEDICAL COLLEGE,Local,2
ST. JOSEPH COLLEGE MAASIN SOUTHERN LEYTE,Local,2
ASIA PACIFIC COLLEGE MAKATI CITY,Local,2
PINES CITY EDUCATIONAL CENTER BAGUIO CITY,Local,2
MINDANAO KOKOSAI DAIGAKU,Local,2
BLESSED MOTHER COLLEGE,Local,2
NEW ENGLAND COLLEGE,Local,2
BAPTIST BIBLE SEMINARY AND INSTITUTE,Local,2
UNIVERSITY OF BATANGAS BATANGAS CITY,Local,2
BAGUIO COLLEGES FOUNDATION BAGUIO CITY,Local,2
PERPETUAL HELP COLLEGE OF PANGASINAN-MALASIQUE PANGASINAN,Local,2
CANOSSA COLLEGE-SAN PABLO LAGUNA,Local,2
MARTINEZ MEMORIAL COLLEGE CALOOCAN,Local,2
MATER DEI COLLEGE - BOHOL,Local,2
MASBATE COLLEGES,Local,2
MARY CHILES COLLEGE MANILA,Local,2
SAINT THERESA COLLEGE OF TANDAG,Local,2
SAINT COLUMBAN COLLEGE,Local,2
SAINT PAUL'S BUSINESS SCHOOL,Local,2
MINDANAO INSTITUTE OF HEALTHCARE PROFESSIONALS INC.,Local,2
MARITIME ACADEMY OF ASIA AND THE PACIFIC,Local,2
SAINT FRANCIS OF ASSISI COLLEGE,Local,2
SAINT MARY'S UNIVERSITY - BAYOMBONG NUEVA VIZCAYA,Local,2
MAPANDI MEMORIAL MEDICAL & EDUCATIONAL CENTER MARAWI,Local,2
MARIE - BERNARDE COLLEGE,Local,2
DIVINE WORD UNIVERSITY TACLOBAN CITY,Local,2
DIVINE WORD MISSION SEMINARY,Local,2
DIVINE WORD COLLEGE OF VIGAN - CITY OF VIGAN (CAPITAL) ILOCOS SUR,Local,2
TANCHULING COLLEGE,Local,2
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES - QUEZON CITY,Local,2
PHILIPPINE WOMEN'S UNIVERSITY-CDCEC - STA. CRUZ - STA. CRUZ LAGUNA,Local,2
DAGUPAN COLLEGES FOUNDATION - DAGUPAN CITY PANGASINAN,Local,2
COLLEGE OF NURSING,Local,2
UNCIANO COLLEGE OF ANTIPOLO - CIRCUMFERENTIAL ROAD,Local,2
OUR LADY OF LOURDES COLLEGE CAMARINES NORTE,Local,2
OTHERS (PLEASE SPECIFY),Local,2
DR. GLORIA D. LACSON FOUNDATION COLLEGES - NUEVA ECIJA,Local,2
METRO SUBIC COLLEGES,Local,2
DOMINICAN COLLEGE - STA. ROSA,Local,2
ROGATIONIST SEMINARY COLLEGE,Local,2
TRACE COLLEGE-LOS BAÑOS LAGUNA,Local,2
SALAZAR COLLEGES OF SCIENCE AND INSTITUTE OF TECHNOLOGY,Local,2
SAINTS JOHN AND PAUL COLLEGES,Local,2
ST. THERESA'S COLLEGE CEBU,Local,2
INTERNATIONAL SCHOOL OF ASIA AND THE PACIFIC - TABUK BRANCH,Local,2
J.P. SIOSON COLLEGES,Local,2
SCOTT CHRISTIAN COLLEGE,Local,2
SAN SEBASTIAN COLLEGE - RECOLETOS,Local,2
SOUTH WESTERN UNIVERSITY,Local,2
FELIPE VERALLO COLLEGE CEBU,Local,2
LANAO SCHOOL OF SCIENCE AND TECHNOLOGY,Local,2
CHIANG KAI SHEK COLLEGE TONDO MANILA,Local,2
LAS PIÑAS COLLEGE,Local,2
SAINT VINCENT'S COLLEGE DIPOLOG CITY,Local,2
STI COLLEGES OF MINDANAO,Local,2
STI COLLEGE - QUEZON AVENUE,Local,2
ST. MICHAEL'S COLLEGE OF LAGUNA,Local,2
JOSE C. FELICIANO COLLEGE,Local,2
IMMACULATE CONCEPTION COLLEGE OZAMIS CITY,Local,2
INFORMATICS COLLEGE - EASTWOOD,Local,2
FATIMA UNIVERSITY (MARULAS VALENZUELA),Local,2
FEBIAS COLLEGE OF BIBLE,Local,2
CICOSAT COLLEGES,Local,2
CHRISTIAN COLLEGES OF SOUTHEAST ASIA,Local,2
LA CONSOLACION COLLEGE - BACOLOD,Local,2
JOSE MARIA COLLEGE,Local,2
FIRST CITY PROVIDENTIAL COLLEGE,Local,2
JAMIATU MARAWI AL - ISLAMIA FOUNDATION,Local,2
CHRIST THE KING MISSION SEMINARY Q.C.,Local,2
HOLY CHILD COLLEGES OF BUTUAN CITY,Local,2
WORLD CITI COLLEGES - ANTIPOLO,Local,2
XAVIER UNIVERSITY (ATENEO DE CAGAYAN) - CAGAYAN DE ORO CITY MISAMIS ORIENTAL,Local,2
ST. MARY'S COLLEGE OF CALIFORNIA USA,Local,2
CEBU SACRED HEART COLLEGE TALISAY CEBU,Local,2
SPA COLLEGE - DATU PIANG MAGUINDANAO,Local,2
ABRA VALLEY COLLEGES,Local,2
ACLC COLLEGE OF BUKIDNON,Local,1
AGO FOUNDATION COLLEGE - NAGA CITY CAMARINES SUR,Local,1
AGO MEDICAL AND EDUCATIONAL CENTER-BICOL CHRISTIAN COLLEGE OF MEDICINE - LEGAZPI CITY ALBAY,Local,1
AIR LINK INTERNATIONAL AVIATION COLLEGE,Local,1
WEST BAY COLLEGE - CITY OF MUNTINLUPA FOURTH DISTRICT,Local,1
WESTERN INSTITUTE OF TECHNOLOGY,Local,1
WESTERN INSTITUTE OF TECHNOLOGY LA PAZ ILOILO,Local,1
WESTERN MINDANAO COOPERATIVE COLLEGE - ZAMBOANGA CITY ZAMBOANGA DEL SUR,Local,1
AMA COMPUTER COLLEGE - DASMARIÑAS,Local,1
AMA COMPUTER COLLEGE - STA. MESA,Local,1
AMA COMPUTER COLLEGE - STA.CRUZ,Local,1
AMA COMPUTER COLLEGE - ZAMBOANGA CITY,Local,1
AMA UNIVERSITY,Local,1
AMANDO COPE COLLEGE,Local,1
UNIVERSITY OF THE VISAYAS - GULLAS COLLEGE MINGLANILLA BRANCH,Local,1
URIOS COLLEGE,Local,1
ACCESS COMPUTER AND TECHNICAL COLLEGES - MANILA,Local,1
ST. JOSEPH'S COLLEGE OF RODRIGUEZ,Local,1
ST. LUKE SCHOOL OF MEDICINE,Local,1
ST. MARY'S COLLEGE OF BORONGAN,Local,1
CEBU INSTITUTE OF MEDICINE - CEBU CITY CEBU,Local,1
CEBU SACRED HEART COLLEGE,Local,1
ST. ANNE COLLEGE LUCENA INC.-GULANG-GULANG LUCENA CITY,Local,1
ST. ANTHONY COLLEGE OF CALAPAN CITY,Local,1
ST. AUGUSTINE SCHOOL OF NURSING,Local,1
ST. BENEDICT COLLEGE,Local,1
ST. COLUMBIAN COLLEGE PAGADIAN CITY,Local,1
ST. DOMINIC COLLEGE OF ASIA,Local,1
ST. FRANCIS COLLEGE,Local,1
ST. JAMES COLLEGE OF QUEZON CITY - QUEZON CITY SECOND DISTRICT,Local,1
ST. JOHN & PAUL COLLEGES LAGUNA,Local,1
ST. JOSEPH COLLEGE - TANZA CAVITE,Local,1
CHRIST THE KING COLLEGE - GINGOOG CITY,Local,1
SOUTHERN BICOL COLLEGES MASBATE,Local,1
SOUTHERN CHRISTIAN COLLEGE,Local,1
SOUTHERN MINDANAO COLLEGES,Local,1
SOUTHERN PHILIPPINES AGRICULTURE BUSINESS MARINE AND AQUATIC SCHOOL OF TECHNOLOGY - DIGOS,Local,1
SOUTHWAY COLLEGE OF TECHNOLOGY,Local,1
SOUTHWESTERN MINDANAO ISLAMIC INSTITUTE,Local,1
CENTRAL METHODIST UNIVERSITY,Local,1
ST. MARY'S UNIVERSITY,Local,1
ST. PETER COLLEGE SEMINARY AGUSAN DEL SUR,Local,1
ST. RITA HOSPITAL COLL. OF NURSING TONDO MANILA,Local,1
SCHOLA DE SAN JOSE,Local,1
SEA AND SKY COLLEGE - PAGDARAOAN LA UNION,Local,1
SOUTH WESTERN,Local,1
COLEGIO DE SAN LORENZO RUIZ DE MANILA,Local,1
COLEGIO DE SAN SEBASTIAN,Local,1
COLEGIO DE STA. LOURDES OF LEYTE FOUNDATION INC. - TABONTABON LEYTE,Local,1
SAN CARLOS COLLEGE - SAN CARLOS CITY PANGASINAN,Local,1
SAN CARLOS SEMINARY,Local,1
SAN CARLOS SEMINARY COLLEGE,Local,1
ST. VINCENT FERMER SEMINARY,Local,1
ST.ANN'S DEGREE COLLEGE FOR WOMENS,Local,1
ST.JOANS COLLEGE OF VOCATIONAL STUDIES,Local,1
ST.MARYS COLLEGE,Local,1
STI COLLEGE - LEGAZPI CITY,Local,1
STI ECOLLEGE SOUTHWOODS,Local,1
TABACO COLLEGE,Local,1
SAINT THERESA COLLEGE INC. SURIGAO DEL SUR,Local,1
SAINT THERESA'S COLLEGE OF CEBU,Local,1
COLEGIO DE SAN FRANCISCO JAVIER - RIZAL ZAMBOANGA DEL NORTE,Local,1
COLEGIO DE SAN GABRIEL ARCANGEL,Local,1
SAINT ANNE COLLEGE OF LUCENA,Local,1
SAINT COLUMBAN'S COLLEGE - LINGAYEN PANGASINAN,Local,1
SAINT JOHN COLLEGES,Local,1
SAINT JOSEPH COLLEGE - CAVITE CITY CAVITE,Local,1
SAINT JOSEPH INSTITUTE OF TECHNOLOGY BUTUAN CITY,Local,1
TARLAC COLLEGE OF AGRICULTURE,Local,1
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES - MANILA,Local,1
THE ADELPHI COLLEGE - LINGAYEN PANGASINAN,Local,1
THE DOCTOR'S CLINIC AND HOSPITAL SCHOOL FOUNDATION INC.,Local,1
THE PHILIPPINE WOMEN'S UNIVERSITY,Local,1
TRACE COLLEGE - CITY OF MAKATI FOURTH DISTRICT,Local,1
COMPUTER TECHNOLOGIES INSTITUTE OF ZAMBOANGA CITY,Local,1
CONGRESS COLLEGE - AGOO LA UNION,Local,1
CONSOLATRIX COLLEGE OF TOLEDO CITY,Local,1
POLYTECHNIC COLLEGE OF LA UNION - AGOO LA UNION,Local,1
REMEDIOS TRINIDAD ROMUALDEZ SCHOOL TACLOBAN,Local,1
RIZAL MEMORIAL COLLEGES - DAVAO CITY DAVAO DEL SUR,Local,1
RTRMS MAKATI MEDICAL CENTER MAKATI,Local,1
PHILIPPINE CULTURAL COLLEGE,Local,1
PHILIPPINE LAW SCHOOL,Local,1
COLLEGE OF ALLIED MEDICAL SCIENCES,Local,1
COLLEGE OF BASIC SCIENCE & HUMANITIES,Local,1
COLLEGE OF IMMACULATE CONCEPTION CABANATUAN,Local,1
UNION UNIVERSITY,Local,1
UNITED DOCTORS MEDICAL CENTER,Local,1
C.P.U.,Local,1
CAGAYAN CAPITOL COLLEGE CAGAYAN DE ORO,Local,1
CALAYAN EDUCATIONAL FOUNDATION INC. LUCENA CITY,Local,1
CALI PARAMEDICAL COLLEGE FOUNDATION - MARAWI CITY LANAO DEL SUR,Local,1
PACASUM COLLEGE,Local,1
PALARIS COLLEGE - SAN CARLOS CITY PANGASINAN,Local,1
PANGASINAN COLLEGES OF SCIENCE AND TECHNOLOGY,Local,1
PANGASINAN MEMORIAL COLLEGE - LINGAYEN PANGASINAN,Local,1
PANGASINAN MERCHANT MARINE ACADEMY - DAGUPAN CITY PANGASINAN,Local,1
PASTOR BONUS SEMINARY,Local,1
PHIL SCHL OF BUSINESS ADMN (PSBA)-R.PAPA ST. SAMPALOC,Local,1
DE LA SALLE - CANLUBANG,Local,1
OUR LADY OF LOURDES COLLEGE FOUNDATION,Local,1
OUR LADY OF MERCY COLLEGE - BORONGAN EASTERN SAMAR,Local,1
OUR LADY OF PENAFRANCIA SORSOGON,Local,1
OUR LADY OF THE ANGELS SEMINARY,Local,1
CAP COLLEGE FOUNDATION,Local,1
CEBU AERONAUTICAL TECHNICAL SCHOOL,Local,1
UNIVERSIDAD DE SANTA ISABEL - NAGA CITY CAMARINES SUR,Local,1
BACCARRA MEDICAL CENTER SCHOOL OF MIDWIFERY - BACARRA ILOCOS NORTE,Local,1
NOTRE DAME OF KIDAPAWAN COLLEGES,Local,1
COTABATO FOUNDATION COLLEGE OF SCIENCE AND TECHNOLOGY - ARAKAN NORTH COTABATO,Local,1
DATA CENTER COLLEGE OF THE PHILIPPINES OF LAOAG CITY - LAOAG CITY (CAPITAL) ILOCOS NORTE,Local,1
NJ VALDEZ COLLEGES FOUNDATION - VILLASIS PANGASINAN,Local,1
NORTH DAVAO COLLEGE (NDC) TAGUM FOUNDATION DAVAO,Local,1
NORTH DAVAO COLLEGE - TAGUM FOUNDATION,Local,1
NORTH NEGROS COLLEGE - CADIZ CITY NEGROS OCCIDENTAL,Local,1
NORTHERN CHRISTIAN COLLEGE LAOAG CITY,Local,1
NORTHERN PHILIPPINES COLLEGE FOR MARITIME SCIENCE AND TECHNOLOGY,Local,1
NATIONAL COLLEGE OF BUSINESS AND ARTS - FAIRVIEW,Local,1
NATIONAL COLLEGE OF BUSINESS AND ARTS - TAYTAY RIZAL,Local,1
MINA DE ORO INSTITUTE OF SCIENCE & TECH. - ORIENTAL MINDORO,Local,1
MOUNT CARMEL COLLEGE - BALER,Local,1
BENEDICTO COLLEGE,Local,1
BRENT HOSPITAL AND COLLEGES INCORPORATED - ZAMBOANGA CITY ZAMBOANGA DEL SUR,Local,1
BSBT COLLEGE - BAGUIO CITY BENGUET,Local,1
UNIVERSITY OF MANILA,Local,1
MATI POLYTECHNIC COLLEGE,Local,1
MERIDIAN INTERNATIONAL COLLEGE,Local,1
DIVINE WORD COLLEGE OF URDANETA - BAYAOAS PANGASINAN,Local,1
DIVINE WORD COLLEGE-LAOAG CITY,Local,1
DIVINE WORD SEMINARY,Local,1
MANUEL V. GALLEGO FOUNDATION COLLEGES,Local,1
MARINERS' POLYTECHNIC COLLEGES - NAGA CITY CAMARINES SUR,Local,1
MARY HELP OF CHRISTIANS COLLEGE SEMINARY PANGASINAN,Local,1
ENTREPRENEURS SCHOOL OF ASIA - QUEZON CITY SECOND DISTRICT,Local,1
MABALACAT COLLEGE,Local,1
MALAYAN COLLEGES LAGUNA,Local,1
MANILA SANITARIUM HOSPITAL & SCHOOL OF MEDICAL ARTS,Local,1
MANUEL L. QUEZON UNIVERSITY QUIAPO MANILA,Local,1
ASIAN COLLEGE OF SCIENCE AND TECHNOLOGY - DUMAGUETE,Local,1
ASIAN INSTITUTE FOR DISTANCE EDUCATION,Local,1
LUNA GOCO,Local,1
LYCEUM OF SUBIC BAY,Local,1
DR. V. ORESTES ROMUALDEZ EDUCATIONAL FOUNDATION,Local,1
LA CONSOLACION COLLEGE - PASIG,Local,1
LA SALLE AFFILIATE COLLEGE ROXAS CITY,Local,1
LAGUNA NORTHWESTERN COLLEGE,Local,1
LARMEN DE GUIA MEMORIAL COLLEGE,Local,1
JESUS THE LOVING SHEPHERD CHRISTIAN COLLEGE,Local,1
JOINT DEGREE ENGLISH PROGRAM,Local,1
FAR EASTERN UNIVERSITY - MAKATI,Local,1
FATHER SATURNINO URIOS UNIVERSITY - BUTUAN CITY AGUSAN DEL NORTE,Local,1
FATIMA MEDICAL SCIENCE FOUNDATION INC. - LAGRO Q.C.,Local,1
ASIAN INSTITUTE OF MANAGEMENT - CITY OF MAKATI FOURTH DISTRICT,Local,1
ASIAN SEMINARY OF CHRISTIAN MINISTRIES,Local,1
ATENEO GRADUATE SCHOOL OF BUSINESS - CITY OF MAKATI FOURTH DISTRICT,Local,1
UNIVERSITY OF SAN AGUSTIN - ILOILO CITY ILOILO,Local,1
UNIVERSITY OF SOUTHERN PHILIPPINES DAVAO,Local,1
GUAGUA NATIONAL COLLEGES,Local,1
HARDAM FURIGAY COLLEGES FOUNDATION,Local,1
HOLY CHILD SCHOOL OF DAVAO,Local,1
HOLY CROSS COLLEGE OF CALINAN,Local,1
HUA SIONG COLLEGE OF ILOILO,Local,1
IETI COLLEGE OF SCIENCE AND TECHNOLOGY - MARIKINA,Local,1
ILOILO DOCTORS' COLLEGE OF MEDICINE - ILOILO CITY ILOILO,Local,1
IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,Local,1
ZAMBOANGA AGRICULTURAL ENGINEERING COLLEGE,Local,1
FLIGHT SCHOOL INTERNATIONAL,Local,1
GINGOOG CITY JUNIOR COLLEGE,Local,1
GOOD SAMARITAN COLLEGE CABANATUAN CITY,Local,1
ARRIESGADO COLLEGE FOUNDATION. INC. TAGUM CITY,Local,1
ASIAN COLLEGE FOUNDATION,Local,1
UNIVERSITY OF ST. ANTHONY IRIGA CITY,Local,1
UNIVERSITY OF THE CORDILLERAS - BAGUIO CITY BENGUET,Local,1
ABE INTERNATIONAL COLLEGE OF BUSINESS AND ECONOMICS - LEGARDA,Local,1
WESLEYAN COLLEGE OF MANILA - PASAY CITY FOURTH DISTRICT,Local,1
