UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
CENTRAL LUZON STATE UNIVERSITY,Local,140
UNIVERSITY OF THE PHILIPPINES - MANILA - SCHOOL OF HEALTH SCIENCES,Local,140
UNIVERSITY OF SOUTHERN MINDANAO - MAIN,Local,138
NOT SPECIFIED/UNLISTED,Local,135
SOUTHERN LUZON STATE UNIVERSITY - MAIN,Local,121
UNIVERSITY OF SOUTHEASTERN PHILIPPINES - MAIN,Local,118
UNIVERSITY OF EASTERN PHILIPPINES,Local,107
CAVITE STATE UNIVERSITY - MAIN,Local,72
LEYTE NORMAL UNIVERSITY,Local,71
CAGAYAN STATE UNIVERSITY - TUGUEGARAO,Local,63
CATANDUANES STATE COLLEGE - MAIN,Local,59
PHILIPPINE NORMAL UNIVERSITY - MAIN,Local,56
UNIVERSITY OF MAKATI,Local,56
UNIVERSITY OF NORTHERN PHILIPPINES CAGAYAN,Local,53
UNIVERSITY OF THE PHILIPPINES - TACLOBAN,Local,49
BICOL UNIVERSITY - TABACO,Local,48
CAMARINES SUR POLYTECHNIC COLLEGE - MAIN,Local,48
UNIVERSITY OF THE PHILIPPINES - CEBU COLLEGE,Local,46
BICOL UNIVERSITY,Local,46
CENTRAL MINDANAO UNIVERSITY BUKIDNON,Local,43
NEGROS ORIENTAL STATE UNIVERSITY - MAIN,Local,40
UNIVERSITY OF THE PHILIPPINES IN THE VISAYAS CEBU,Local,37
VISAYAS STATE UNIVERSITY - MAIN,Local,36
BATANGAS STATE UNIVERSITY - MAIN,Local,35
MINDANAO STATE UNIVERSITY GENERAL SANTOS CITY,Local,33
MARIANO MARCOS STATE UNIVERSITY ILOCOS NORTE,Local,33
UNIVERSITY OF SOUTHEASTERN PHILIPPINES-DAVAO CITY,Local,30
CARAGA STATE UNIVERSITY - MAIN,Local,29
UNIVERSIDAD DE MANILA,Local,29
SULU STATE COLLEGE,Local,27
MOUNTAIN PROVINCE STATE POLYTECHNIC COLLEGE - MAIN,Local,27
BATAAN PENINSULA STATE UNIVERSITY - BALANGA,Local,27
UNIVERSITY OF THE PHILIPPINES - DILIMAN - EXTENSION PROGRAM IN PAMPANGA,Local,26
RIZAL TECHNOLOGICAL UNIVERSITY - MAIN,Local,24
UNIVERSITY OF SOUTHERN MINDANAO NORTH COTABATO,Local,24
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE AND TECHNOLOGY,Local,24
BENGUET STATE UNIVERSITY,Local,23
TARLAC STATE UNIVERSITY,Local,23
BICOL UNIVERSITY COLLEGE OF SCIENCE LEGAZPI CITY,Local,22
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY - SOUTH LA UNION,Local,19
CENTRAL LUZON STATE UNIVERSITY NUEVA ECIJA,Local,18
PAMANTASAN NG LUNGSOD NG PASIG,Local,18
CEBU TECHNOLOGICAL UNIVERSITY - MAIN,Local,18
SAMAR STATE UNIVERSITY - MAIN,Local,18
BICOL UNIVERSITY COLLEGE OF NURSING LEGAZPI CITY,Local,17
BUKIDNON STATE UNIVERSITY,Local,17
BULACAN STATE UNIVERSITY,Local,17
UNIVERSITY OF EASTERN PHILIPPINES - SAMAR,Local,16
GORDON COLLEGE,Local,15
ILOCOS SUR COMMUNITY COLLEGE - BANTAY ILOCOS SUR,Local,15
PALAWAN STATE UNIVERSITY PUERTO PRINCESA CITY,Local,15
URDANETA CITY UNIVERSITY,Local,14
PAMANTASAN NG LUNGSOD NG MARIKINA,Local,14
AKLAN STATE UNIVERSITY - MAIN,Local,14
BICOL UNIVERSITY - DARAGA,Local,13
BICOL UNIVERSITY - POLANGUI,Local,12
UNIVERSITY OF THE PHILIPPINES - PAMPANGA,Local,12
NORTHERN NEGROS STATE COLLEGE OF SCIENCE AND TECHNOLOGY - MAIN,Local,11
PHILIPPINE NORMAL COLLEGE TAFT AVENUE MANILA,Local,11
UNIVERSITY OF THE PHILIPPINES SCH. OF HEALTH SCIENCES -LEYTE,Local,11
MARIANO MARCOS STATE UNIVERSITY - COLLEGE OF EDUCATION - LAOAG CITY,Local,11
CAMARINES NORTE STATE COLLEGE - MAIN,Local,10
SULTAN KUDARAT STATE UNIVERSITY - TACURONG,Local,10
SULTAN KUDARAT STATE UNIVERSITY - MAIN,Local,10
JOSE RIZAL MEMORIAL STATE UNIVERSITY - MAIN,Local,9
LAGUNA STATE POLYTECHNIC UNIVERSITY - LAGUNA COLLEGE OF ARTS AND TRADES - STA. CRUZ,Local,9
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY - NORTH LA UNION - MAIN,Local,9
ISABELA STATE UNIVERSITY - ILAGAN,Local,9
UNIVERSITY OF RIZAL SYSTEM - MORONG,Local,9
NUEVA ECIJA UNIVERSITY OF SCIENCE AND TECHNOLOGY - MAIN,Local,9
WESTERN VISAYAS COLLEGE OF SCIENCE AND TECHNOLOGY - MAIN,Local,9
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,Local,8
U.P. VISAYAS (TACLOBAN CITY LEYTE),Local,8
UNIVERSITY OF NORTHERN PHILIPPINES VIGAN ILOCOS SUR,Local,8
NAVAL STATE UNIVERSITY - MAIN,Local,7
NEGROS ORIENTAL STATE UNIVERSITY,Local,7
PAMANTASAN NG LUNGSOD NG PASAY,Local,7
CATANDUANES STATE COLLEGE,Local,7
EASTERN SAMAR STATE UNIVERSITY - MAIN,Local,7
LEYTE NORMAL UNIVERSITY TACLOBAN CITY,Local,6
BATAAN PENINSULA STATE UNIVERSITY,Local,6
PHILIPPINE NORMAL UNIVERSITY - AGUSAN,Local,6
ILOCOS SUR POLYTECHNIC STATE COLLEGE,Local,6
UNIVERSITY OF CALOOCAN CITY,Local,5
UNIVERSITY OF NORTHERN PHILIPPINES-CANDON - CITY OF CANDON ILOCOS SUR,Local,5
PAMPANGA AGRICULTURAL COLLEGE,Local,5
PAMANTASAN NG LUNGSOD NG MUNTINLUPA,Local,5
CAVITE STATE UNIVERSITY CAVITE,Local,5
EULOGIO AMANG RODRIGUEZ INSTITUTE OF SCIENCE AND TECHNOLOGY,Local,5
EASTERN VISAYAS STATE UNIVERSITY,Local,5
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES - AYALA BLVD. MANILA,Local,5
BATANGAS STATE UNIVERSITY BATANGAS CITY,Local,5
IFUGAO STATE UNIVERSITY - MAIN,Local,4
CEBU STATE COLLEGE OF SCIENCE AND TECHNOLOGY-MANDAUE CITY - MANDAUE CITY CEBU,Local,4
LAGUNA STATE POLYTECHNIC UNIVERSITY - SAN PABLO CITY,Local,4
UNIVERSITY OF THE PHILIPPINES - OPEN UNIVERSITY,Local,4
UPM- SCHOOL OF HEALTH SCIENCES PALO LEYTE,Local,4
PANGASINAN STATE UNIVERSITY,Local,4
SURIGAO DEL SUR POLYTECHNIC STATE COLLEGE,Local,4
NUEVA VIZCAYA STATE UNIVERSITY - BAMBANG,Local,4
PAMANTASAN NG CABUYAO,Local,4
SULTAN KUDARAT POLYTECHNIC STATE COLLEGE,Local,4
BASILAN STATE COLLEGE,Local,3
CAMIGUIN POLYTECHNIC STATE COLLEGE,Local,3
CAGAYAN STATE UNIVERSITY - TUGUEGARAO (CARIG) - TUGUEGARAO CITY (CAPITAL) CAGAYAN,Local,3
ISABELA STATE UNIVERSITY - MAIN,Local,3
UNIV. OF SOUTHEASTERN PHIL. BO. OBRERO DAVAO,Local,3
MINDANAO STATE UNIVERSITY - BUUG COLLEGE,Local,3
ROMBLON STATE UNIVERSITY - MAIN,Local,3
RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY - RAMON MAGSAYSAY POLYTECHNIC COLLEGE,Local,3
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES - VISAYAS,Local,3
PHILIPPINE MILITARY ACADEMY - BAGUIO CITY BENGUET,Local,3
MINDANAO STATE UNIVERSITY - SULU DEVELOPMENT TECHNICAL COLLEGE,Local,3
MINDANAO STATE UNIVERSITY - NAAWAN,Local,3
MARINDUQUE STATE COLLEGE - MAIN,Local,3
KALINGA APAYAO STATE COLLEGE KALINGA PROVINCE,Local,2
JOSEFINA H. CERILLES STATE COLLEGE - PAGADIAN,Local,2
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECH.,Local,2
CITY COLLEGE OF MANILA,Local,2
MISAMIS ORIENTAL STATE COLLEGE OF AGRICULTURE AND TECHNOLOGY,Local,2
PHILIPPINE STATE COLLEGE OF AERONAUTICS LAPU-LAPU CITY,Local,2
PARTIDO STATE UNIVERSITY - MAIN,Local,2
PAMANTASAN NG LUNGSOD NG VALENZUELA,Local,2
VISAYAS UNIVERSITY,Local,2
SURIGAO DEL SUR STATE UNIVERSITY - MAIN,Local,2
UM DIGOS COLLEGE,Local,2
UNIVERSITY OF RIZAL SYSTEM - MORONG RIZAL,Local,2
CAPIZ STATE UNIVERSITY - PONTEVEDRA,Local,2
CENTRAL BICOL STATE UNIVERSITY OF AGRICULTURE - MAIN,Local,2
CAGAYAN STATE UNIVERSITY - SANCHEZ MIRA,Local,2
LEYTE STATE UNIVERSITY,Local,2
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES - ORIENTAL MINDORO,Local,2
RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY,Local,2
MINDANAO STATE UNIVERSITY - TAWI - TAWI COLLEGE OF TECHNOLOGY AND OCEANOGRAPHY,Local,2
NORTH LUZON PHILIPPINES STATE COLLEGE,Local,2
BULACAN STATE UNIVERSITY - BUSTOS,Local,2
CAGAYAN STATE UNIVERSITY - GONZAGA,Local,2
BACOLOD CITY COLLEGE,Local,1
BAGO CITY COLLEGE,Local,1
BATANGAS STATE UNIVERSITY - ALANGILAN,Local,1
BATAAN POLYTECHNIC STATE COLLEGE BALANGA CITY,Local,1
ABRA STATE INSTITUTE OF SCIENCE & TECH. ABRA,Local,1
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE AND TECHNOLOGY,Local,1
COTABATO CITY STATE POLYTECHNIC COLLEGE,Local,1
BUKIDNON STATE COLLEGE,Local,1
CAVITE STATE UNIVERSITY - CARMONA,Local,1
CAGAYAN STATE UNIVERSITY - APARRI CAGAYAN,Local,1
CAGAYAN STATE UNIVERSITY - APARRI,Local,1
CAPIZ STATE UNIVERSITY - MAIN,Local,1
BATANGAS STATE UNIVERSITY - APOLINARIO R. APACIBLE SCHOOL OF FISHERIES - NASUGBU,Local,1
BOHOL ISLAND STATE UNIVERSITY - TAGBILARAN,Local,1
LAGUNA STATE POLYTECHNIC UNIVERSITY - LOS BAÑOS COLLEGE OF FISHERIES,Local,1
KALINGA - APAYAO STATE COLLEGE - MAIN,Local,1
ISABELA STATE UNIVERSITY - PALANAN,Local,1
DAVAO DEL NORTE STATE COLLEGE,Local,1
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY - MID LA UNION,Local,1
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY - MAIN,Local,1
EASTERN SAMAR STATE UNIVERSITY - CAN - AVID,Local,1
EULOGIO AMANG RODRIGUEZ INSTITUTE OF SCIENCE AND TECHNOLOGY - CAVITE,Local,1
PALAWAN STATE UNIVERSITY - SAN RAFAEL PUERTO PRINCESA CITY,Local,1
MINDANAO POLYTECHNIC STATE COLLEGE CAGAYAN DE ORO,Local,1
MINDANAO STATE UNIVERSITY-SULU,Local,1
MSU-SCH. OF MARINE FISHERIES & TECH.- MIS. ORIENTAL,Local,1
NORTHERN ILOILO POLYTECHNIC STATE COLLEGE - MAIN,Local,1
NORTHWESTERN MINDANAO STATE COLLEGE OF SCIENCE AND TECHNOLOGY,Local,1
NUEVA VIZCAYA STATE UNIVERSITY BAYOMBONG NUEVA VIZCAYA,Local,1
OCCIDENTAL MINDORO STATE COLLEGE,Local,1
RIZAL TECHNOLOGICAL UNIVERSITY - PASIG,Local,1
RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY - MONDRIAAN AURA COLLEGE,Local,1
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES - TAGUIG,Local,1
PHILIPPINE STATE COLLEGE OF AERONAUTICS - MAIN,Local,1
PHILIPPINE NATIONAL POLICE ACADEMY - SILANG CAVITE,Local,1
PAMPANGA AGRICULTURAL COLLEGE PAMPANGA,Local,1
PANGASINAN STATE UNIVERSITY - URDANETA CITY,Local,1
PANGASINAN STATE UNIVERSITY - BAYAMBANG,Local,1
UNIVERSITY OF SOUTHEASTERN PHILIPPINES - MINTAL,Local,1
UNIVERSITY OF RIZAL SYSTEM - TAYTAY,Local,1
UNIVERSITY OF RIZAL SYSTEM - TANAY,Local,1
TIWI COMMUNITY COLLEGE,Local,1
SOUTHERN LUZON STATE UNIVERSITY - TIAONG,Local,1
URDANETA COMMUNITY COLLEGE PANGASINAN,Local,1
WESTERN PHILIPPINES UNIVERSITY - PUERTO PRINCESA,Local,1
ZAMBOANGA STATE COLLEGE OF MARINE SCIENCES AND TECHNOLOGY,Local,1
